Date,TempHighF,TempLowF,DewPointHighF,DewPointLowF,HumidityHighPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityLowMiles,WindHighMPH,WindGustMPH,PrecipitationSumInches,Events
2016-08-30,92,73,73.0,70.0,94.0,52.0,30.04,29.9,10.0,10.0,12.0,16.0,0,
2017-01-12,81,67,65.0,59.0,87.0,52.0,30.16,29.95,10.0,7.0,14.0,26.0,0,
2014-09-15,88,69,70.0,67.0,97.0,55.0,30.13,30.02,10.0,6.0,8.0,13.0,0,
2014-05-18,85,62,61.0,57.0,93.0,40.0,30.09,29.96,10.0,8.0,16.0,24.0,0,
2014-03-11,83,56,56.0,52.0,93.0,39.0,29.93,29.58,10.0,4.0,14.0,22.0,0,
2014-12-11,67,57,59.0,55.0,97.0,73.0,30.24,30.14,10.0,2.0,9.0,16.0,0.04,Rain
2015-01-28,81,42,49.0,37.0,96.0,23.0,30.18,30.06,10.0,10.0,14.0,22.0,0,
2014-03-09,58,39,45.0,31.0,86.0,55.0,30.37,30.22,10.0,2.0,15.0,23.0,0.11,Rain
2015-08-06,102,77,73.0,65.0,85.0,33.0,30.0,29.8,10.0,10.0,13.0,22.0,0,
2015-02-02,49,33,30.0,19.0,62.0,34.0,30.43,30.28,10.0,10.0,15.0,22.0,0,
2016-03-09,71,59,67.0,57.0,100.0,84.0,29.85,29.65,10.0,1.0,15.0,27.0,2.18,"Rain , Thunderstorm"
2015-03-09,55,49,52.0,48.0,100.0,93.0,30.06,29.88,10.0,1.0,8.0,13.0,2.17,Rain
2014-01-25,70,26,38.0,22.0,85.0,20.0,30.38,30.02,10.0,8.0,8.0,14.0,0,
2017-03-01,73,54,67.0,23.0,93.0,24.0,30.29,29.86,10.0,7.0,21.0,29.0,0,
2015-09-21,95,73,71.0,53.0,87.0,26.0,30.01,29.9,9.99158377964805,7.233009708737864,12.0,16.0,0,
2016-10-19,92,75,74.0,66.0,94.0,47.0,30.01,29.87,10.0,10.0,12.0,18.0,0,
2016-02-29,77,62,61.0,57.0,93.0,50.0,30.13,29.93,10.0,10.0,13.0,22.0,0,
2016-08-15,76,71,73.0,70.0,100.0,93.0,30.06,29.94,10.0,1.0,7.0,12.0,2.35,Rain
2013-12-27,60,45,41.0,37.0,83.0,47.0,30.46,30.34,10.0,7.0,7.0,11.0,T,
2015-10-12,99,72,73.0,64.0,90.0,33.0,29.84,29.7,10.0,5.0,13.0,23.0,0,
2015-08-20,84,73,74.0,66.0,94.0,62.0,30.01,29.86,10.0,1.0,13.0,22.0,0.35,"Rain , Thunderstorm"
